Date/Time,Word Count,ca,en,es,eu,fr,gl
2020.05.22-10.52.58,0,0,0,0,0,0,0
2020.05.22-10.56.26,263,0,263,0,0,0,0
2020.05.22-11.00.40,261,0,261,0,0,0,0
2020.05.22-11.01.58,0,0,0,0,0,0,0
2020.05.22-11.23.41,161,0,161,0,0,0,0
2020.05.22-11.39.40,161,0,161,5,0,0,5
2020.05.22-14.07.52,158,0,158,23,0,0,5
2020.05.22-14.19.15,158,0,158,121,0,0,5
2020.05.22-14.24.42,158,0,158,158,0,0,5
2020.05.22-15.10.46,110,0,110,93,0,0,0
2020.05.22-15.41.55,110,0,110,110,0,0,0
2020.05.22-20.54.36,110,0,110,110,0,0,110
2020.05.23-17.03.31,112,0,112,110,0,0,110
2020.05.23-17.05.03,112,0,112,112,0,0,112
2020.05.24-00.33.57,112,0,112,112,112,0,112
2020.05.24-00.44.51,104,0,104,100,100,0,100
2020.05.24-00.53.37,104,0,104,90,90,0,94
2020.05.24-00.56.36,104,0,104,104,103,0,104
2020.05.24-01.03.04,104,0,104,104,104,0,104
2020.05.26-03.16.44,105,0,105,103,103,0,103
2020.05.26-03.18.01,105,0,105,105,104,0,105
2020.05.26-03.39.04,105,0,105,105,105,0,105
