Date/Time,Word Count,ca,en,es,eu,fr,gl
2020.05.22-10.52.58,0,0,0,0,0,0,0
2020.05.22-10.56.26,263,0,263,0,0,0,0
2020.05.22-11.00.40,261,0,261,0,0,0,0
2020.05.22-11.01.58,0,0,0,0,0,0,0
2020.05.22-11.23.41,161,0,161,0,0,0,0
2020.05.22-11.39.40,161,0,161,5,0,0,5
2020.05.22-14.07.52,158,0,158,23,0,0,5
2020.05.22-14.19.15,158,0,158,121,0,0,5
2020.05.22-14.24.42,158,0,158,158,0,0,5
2020.05.22-15.10.46,110,0,110,93,0,0,0
2020.05.22-15.41.55,110,0,110,110,0,0,0
2020.05.22-20.54.36,110,0,110,110,0,0,110
2020.05.23-17.03.31,112,0,112,110,0,0,110
2020.05.23-17.05.03,112,0,112,112,0,0,112
2020.05.24-00.33.57,112,0,112,112,112,0,112
2020.05.24-00.44.51,104,0,104,100,100,0,100
2020.05.24-00.53.37,104,0,104,90,90,0,94
2020.05.24-00.56.36,104,0,104,104,103,0,104
2020.05.24-01.03.04,104,0,104,104,104,0,104
2020.05.26-03.16.44,105,0,105,103,103,0,103
2020.05.26-03.18.01,105,0,105,105,104,0,105
2020.05.26-03.39.04,105,0,105,105,105,0,105
2020.06.02-21.47.44,102,0,102,101,101,0,101
2020.06.02-22.02.46,102,102,102,102,102,93,102
2020.06.18-18.09.32,74,69,74,69,69,64,69
2020.06.18-18.14.37,265,69,265,69,69,64,69
2020.06.18-18.17.06,253,69,253,69,69,64,69
2020.06.18-19.41.26,253,69,253,253,69,64,69
2020.06.18-19.53.26,253,69,253,253,69,64,253
2020.06.18-20.09.44,253,69,253,247,69,64,247
2020.06.18-20.15.50,253,69,253,253,69,64,247
2020.06.18-20.17.19,253,69,253,253,69,64,253
2020.06.18-21.27.02,253,68,253,252,68,63,252
2020.06.18-21.28.01,235,51,235,235,51,46,235
2020.06.18-21.39.12,235,51,235,235,232,46,235
2020.06.18-21.39.49,235,51,235,235,235,46,235
2020.07.03-19.07.35,271,49,271,202,202,46,202
2020.07.03-19.09.22,375,49,375,202,202,46,202
2020.07.03-19.10.38,274,49,274,202,202,46,202
2020.07.03-19.54.29,274,146,274,274,206,149,274
2020.07.03-20.17.50,274,211,274,274,211,208,274
2020.07.04-22.37.47,274,211,274,274,270,208,274
2020.07.04-22.39.31,274,211,274,274,274,208,274
2020.07.05-02.27.02,274,211,274,274,274,271,274
2020.07.10-17.32.53,274,252,274,274,274,271,274
2020.07.10-17.49.56,274,222,274,244,244,241,244
2020.07.12-13.20.01,274,221,274,243,243,240,243
2020.07.12-13.44.15,274,221,274,274,274,240,274
2020.07.12-14.04.48,274,252,274,274,274,271,274
2020.07.14-13.49.10,274,274,274,274,274,274,274
